"Sistem Perlesenan", "Licensing System"
#Banner
"spip_banner1a.jpg", "spip_banner1a_en.jpg"
"spip_banner2a.jpg", "spip_banner2a_en.jpg"

#Global word
"Negeri","State"
"Kod Negeri","State Code"
"Daerah","District"

#Petunjuk
"Petunjuk","Sign"
"Permohonan 1-2 hari","Appltication 1-2 days"
"Permohonan 3-4 hari","Application 3-4 days"
"Permohonan 5 hari","Application 5 days"
"Permohonan Melebihi 5 hari","Application More Than 5 days"

#Button
"Tambah", "Add"
"Kembali", "Back"
"Semula", "Reset"
"Hapus", "Delete"
"Hantar", "Submit"
"Kemaskini", "Update"

#Menu Utama
"UTAMA", "HOME"
"INDUK", "MASTER"
"BAYARAN", "PAYMENT"
"SERVIS", "SERVICE"
"PENYELENGGARAAN", "MAINTAINENCE"
"PERTANYAAN", "INQUIRY"
"PERMOHONAN", "APPLICATION"
"TRANSAKSI", "TRANSACTION"
"LAPORAN", "REPORT"
"KELUAR", "LOGOUT"
"Pelawat", "Guest"
"ADUAN","COMPLAINT"

#Menu Kiri
"Pautan ACL", "ACL Links"
"Pautan Pengguna", "User Links"
"Pautan Pemohon", "Applicant Links"


#info
"carian...", "searching..."
"Cari", "Search"
"Carian", "Searching"
"Jika terdapat sebarang masalah mengenai sistem atau data, sila hubungi:", "If you have any trouble with the system or data, please contact:"
"Makluman", "Announcement"
"ID Pengguna", "User ID"
"Kata Laluan", "Password"
"Daftar Masuk", "Login"
"Pengguna Baru", "New User"
"Hilang Katalaluan?", "Lost Password?"
"Informasi", "Information"
"Pentadbir Sistem", "System Administrator"

#DataGrid
"hingga", "to"
"dari", "from"

#Pemohon - Senarai Permohonan
"Senarai Permohonan", "Application List"
"ID Permohonan", "Application ID"
"Jenis Permohonan", "Application Type"
"Tarikh Permohonan", "Application Date"
"Aktiviti", "Activity"

#Modul Induk - Senarai Pengguna
"Senarai Pengguna", "User List"
"ID Pengguna", "User ID"
"Nama Penuh", "Full Name"
"No KP", "IC No"
"Email", "Email"
"Papar Pengguna", "Display User"
"Kemaskini Pengguna", "Updates User"
"Hapus Pengguna", "Delete User"
"Nama", "Name"
"No Kad Pengenalan", "Identification No."
"Kata Laluan", "Password"
"Tarikh Lahir", "Date of Birth"
"Status", "Status"
"Kumpulan Pengguna", "User Group"
"-Tidak Dipamerkan-", "-Not Displayed-"
"Terdapat masalah semasa kemaskini maklumat pengguna.", "A problem detected during updating user info."
"Kemaskini maklumat pengguna berjaya.", "Updating user info successfully"
"Anda pasti?", "Are you sure?"
"[--Sila Pilih Kumpulan Pengguna--]", "[--Please Select User Group--]"
"Aktif", "Active"
"Tidak Aktif", "Not Active"
"Ruangan Diperlukan", "Required Field"
"No Kad Pengenalan Tidak Sah", "Identification No. Is Not Valid"
"Kata Laluan Tidak Sama", "Password Not Match"

#Modul Induk - Senarai Kumpulan Pengguna
"Senarai Kumpulan Pengguna", "User Group List"

#Modul Induk - Induk
"Pautan Induk","Master Link"
"Senarai Negeri","State List"
"Senarai Daerah","District List"
"No Lesen","License No"
"No Resit","Receipt No"
"No Siri Tawaran Kompaun",""

#info box
"Diperlukan", "Required"
"Sila masukkan maklumat pada ruangan di bawah.", "Please fill in column below."
"Masukkan maklumat pada ruangan di bawah.", "Fill in the column below."
"Nama Pengguna", "User Name"

"Maklumat berikut masih belum lengkap", "Maklumat berikut masih belum lengkap"



#Modul Pemandu Pelancong
